Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor Bruto;Valor m2;Valor Bruto m2;Tipo Agregado
Apartamento;Praça Seca;2;1;0;60;800.0;180.0;15.0;995.0;13.33;74.64;Apartamento
Apartamento;Laranjeiras;3;2;1;180;5800.0;1800.0;170.0;7770.0;32.22;241.15;Apartamento
Apartamento;Ipanema;3;1;1;114;3500.0;1500.0;354.0;5354.0;30.7;174.4;Apartamento
Apartamento;Ipanema;3;1;2;250;10000.0;2000.0;850.0;12850.0;40.0;321.25;Apartamento
Apartamento;Barra da Tijuca;4;3;3;550;24000.0;8000.0;2000.0;34000.0;43.64;779.1;Apartamento
Apartamento;Barra da Tijuca;4;0;2;179;8900.0;2529.0;406.0;11835.0;49.72;238.03;Apartamento
Apartamento;Méier;2;0;0;67;750.0;378.0;14.0;1142.0;11.19;102.06;Apartamento
Apartamento;Jardim Botânico;2;1;0;66;2500.0;1200.0;200.0;3900.0;37.88;102.96;Apartamento
Apartamento;Ipanema;2;0;0;80;4000.0;1000.0;280.0;5280.0;50.0;105.6;Apartamento
Apartamento;Laranjeiras;3;1;1;130;3500.0;1600.0;0.0;5100.0;26.92;189.45;Apartamento
Casa;Rio Comprido;2;0;0;250;5000.0;0.0;3800.0;8800.0;20.0;440.0;Casa
Apartamento;Copacabana;1;0;0;35;1400.0;350.0;70.0;1820.0;40.0;45.5;Apartamento
Casa;Vila Kosmos;2;1;0;113;1800.0;0.0;0.0;1800.0;15.93;112.99;Casa
Apartamento;Recreio dos Bandeirantes;3;2;1;152;2800.0;1500.0;252.0;4552.0;18.42;247.12;Apartamento
Casa de Condomínio;Vargem Grande;4;4;2;260;5000.0;341.0;0.0;5341.0;19.23;277.74;Casa
Apartamento;Copacabana;3;0;0;98;1900.0;1200.0;228.0;3328.0;19.39;171.63;Apartamento
Apartamento;Barra da Tijuca;3;2;1;140;4400.0;1800.0;200.0;6400.0;31.43;203.63;Apartamento
Apartamento;Barra da Tijuca;5;4;4;600;25000.0;4500.0;0.0;29500.0;41.67;707.94;Apartamento
Apartamento;Copacabana;3;2;1;126;2800.0;1604.0;245.0;4649.0;22.22;209.23;Apartamento
Apartamento;Leblon;3;1;1;140;5500.0;900.0;280.0;6680.0;39.29;170.02;Apartamento
Casa;Santa Teresa;3;1;1;133;2500.0;0.0;0.0;2500.0;18.8;132.98;Casa
Apartamento;Barra da Tijuca;2;1;1;70;1500.0;750.0;115.0;2365.0;21.43;110.36;Apartamento
Apartamento;Copacabana;3;1;1;105;3000.0;1217.0;190.0;4407.0;28.57;154.25;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;108;2500.0;1100.0;200.0;3800.0;23.15;164.15;Apartamento
